id,select_type,table,partitions,type,possible_keys,key,key_len,ref,rows,filtered,Extra
1,SIMPLE,e,NULL,range,"PRIMARY,idx_last_name_employees",idx_last_name_employees,66,NULL,819,100.00,"Using index condition; Using MRR"
1,SIMPLE,s,NULL,ref,PRIMARY,PRIMARY,4,employees.e.emp_no,9,100.00,NULL
