id,select_type,table,partitions,type,possible_keys,key,key_len,ref,rows,filtered,Extra
1,SIMPLE,e,NULL,ALL,PRIMARY,NULL,NULL,NULL,299469,40.00,"Using where"
1,SIMPLE,s,NULL,ref,PRIMARY,PRIMARY,4,employees.e.emp_no,9,100.00,NULL
